,vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
0,VTS,2015-01-15 06:16:22,2015-01-15 06:55:23,-73.98851013183594,40.74610137939453,-74.17729187011719,40.6951904296875,3,1,19.94,CSH,0.0,0.0,0.0,0.3,0.0,15.35,0.0,N
1,VTS,2015-02-18 13:16:54,2015-02-18 13:25:58,-73.96975708007812,40.758541107177734,-73.95027160644531,40.768768310546875,1,1,1.59,CSH,0.0,0.0,0.5,0.3,0.0,0.0,0.0,N
2,VTS,2015-05-10 05:08:19,2015-05-10 05:14:48,0.0,0.0,0.0,0.0,5,2,0.18,CSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
3,VTS,2015-03-08 03:54:38,2015-03-08 03:56:14,-73.93755340576172,40.758358001708984,-73.93766021728516,40.75828552246094,1,1,0.01,CRD,0.0,0.0,0.0,0.3,0.0,0.0,0.0,N
4,VTS,2015-01-28 07:48:02,2015-01-28 07:54:18,-73.78620147705078,40.643463134765625,-73.78633880615234,40.64183044433594,2,1,3.96,CSH,0.0,0.0,0.5,0.3,0.0,0.0,0.0,N
5,VTS,2015-05-25 19:10:55,2015-05-25 19:49:16,-73.78984069824219,40.64362335205078,-73.96443176269531,40.75469207763672,2,2,17.99,CSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
6,VTS,2015-03-08 05:24:01,2015-03-08 05:39:33,-73.97269439697266,40.748565673828125,-73.99488830566406,40.760276794433594,1,2,4.5,CSH,0.0,0.0,0.5,0.3,0.0,0.0,0.0,N
7,CMT,2015-04-13 08:14:49,2015-04-13 08:30:35,-73.9515380859375,40.76923751831055,-73.97638702392578,40.75102996826172,1,1,0.2,CRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
8,VTS,2015-01-11 13:28:33,2015-01-11 13:28:36,0.0,0.0,0.0,0.0,2,1,0.01,CSH,0.0,0.0,0.5,0.3,0.0,0.0,0.0,N
9,VTS,2015-03-20 08:34:49,2015-03-20 08:34:56,-73.95751953125,40.816219329833984,-73.95948791503906,40.817108154296875,1,5,0.09,CSH,0.0,0.0,0.0,0.3,0.0,0.0,0.0,N
